Glas,,ZnS_1,,ZnS_2,,MgF2_1,,MgF2_2,,MgF2_3,,Filter,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
776.0032349,99.4580307,776.0032349,88.26863861,776.0032349,86.12366486,776.0032349,96.07969666,776.0032349,97.68806458,776.0032349,98.82117462,776.0032349,93.84344482,
774.9902954,100.0470428,774.9902954,88.77085114,774.9902954,86.97066498,774.9902954,97.05982971,774.9902954,98.20533752,774.9902954,99.35293579,774.9902954,93.69436646,
774.0119019,99.58200073,774.0119019,88.64006042,774.0119019,87.2779007,774.0119019,96.75048828,774.0119019,98.11473846,774.0119019,99.62663269,774.0119019,93.16869354,
772.99823,99.93014526,772.99823,88.62975311,772.99823,86.88720703,772.99823,96.26700592,772.99823,97.50937653,772.99823,99.25482941,772.99823,92.16841125,
771.9841919,99.83172607,771.9841919,88.94535828,771.9841919,86.71842957,771.9841919,96.13500214,771.9841919,97.27153778,771.9841919,98.67354584,771.9841919,90.86486816,
771.0046997,99.5087204,771.0046997,89.78477478,771.0046997,87.87232971,771.0046997,97.09493256,771.0046997,98.59641266,771.0046997,98.94303894,771.0046997,90.01964569,
769.9898682,99.85385895,769.9898682,89.647789,769.9898682,88.11214447,769.9898682,97.21305847,769.9898682,98.22315979,769.9898682,99.4016037,769.9898682,89.30414581,
769.0096436,99.82312012,769.0096436,89.21445465,769.0096436,87.71582031,769.0096436,96.65670013,769.0096436,97.60722351,769.0096436,99.69168091,769.0096436,88.12583923,
767.9940186,99.86624908,767.9940186,89.90611267,767.9940186,87.97406769,767.9940186,96.53460693,767.9940186,97.79238892,767.9940186,99.07778931,767.9940186,86.4105072,
767.0130615,99.69215393,767.0130615,90.26945496,767.0130615,88.66362762,767.0130615,96.93254089,767.0130615,98.46653748,767.0130615,98.98210144,767.0130615,85.08535767,
765.9967041,100.0736008,765.9967041,90.34356689,765.9967041,89.15887451,765.9967041,97.29673004,765.9967041,97.99026489,765.9967041,99.38129425,765.9967041,83.75843811,
765.0150146,99.54421234,765.0150146,89.80467224,765.0150146,88.32874298,765.0150146,96.01391602,765.0150146,97.15692139,765.0150146,98.92959595,765.0150146,81.49193573,
763.9978638,99.90005493,763.9978638,90.59337616,763.9978638,88.64334106,763.9978638,96.42409515,763.9978638,97.5955658,763.9978638,98.7960968,763.9978638,79.81024933,
763.0154419,99.70352936,763.0154419,91.12310791,763.0154419,89.24465179,763.0154419,96.90756989,763.0154419,98.31383514,763.0154419,98.82746124,763.0154419,78.03408813,
761.9974976,99.64244843,761.9974976,90.94680786,761.9974976,89.56517792,761.9974976,97.11628723,761.9974976,97.94618225,761.9974976,98.88751984,761.9974976,76.14189148,
761.0144043,100.0491028,761.0144043,91.22112274,761.0144043,89.20561981,761.0144043,96.41126251,761.0144043,97.55502319,761.0144043,99.23464203,761.0144043,74.24746704,
759.9957275,99.68922424,759.9957275,91.0088501,759.9957275,89.41604614,759.9957275,96.3788681,759.9957275,97.54831696,759.9957275,98.64723969,759.9957275,71.63765717,
759.0117798,99.62960052,759.0117798,91.73148346,759.0117798,90.04455566,759.0117798,97.0474472,759.0117798,98.10810089,759.0117798,98.9599762,759.0117798,69.41996002,
757.9924316,99.57644653,757.9924316,91.72805023,757.9924316,90.25466156,757.9924316,96.6001358,757.9924316,97.83792114,757.9924316,98.96231842,757.9924316,67.51667023,
757.0078125,99.52600098,757.0078125,91.47023773,757.0078125,90.01280975,757.0078125,96.21189117,757.0078125,97.51752472,757.0078125,99.02866364,757.0078125,65.3663559,
755.9876099,99.66481018,755.9876099,92.11010742,755.9876099,89.89652252,755.9876099,96.42294312,755.9876099,97.45496368,755.9876099,98.60972595,755.9876099,62.6497612,
755.0023193,99.91234589,755.0023193,92.72544098,755.0023193,90.79374695,755.0023193,96.98284149,755.0023193,97.9936676,755.0023193,98.81102753,755.0023193,60.58547592,
754.0165405,99.67005157,754.0165405,92.52068329,754.0165405,90.96058655,754.0165405,97.01545715,754.0165405,97.84195709,754.0165405,98.98497772,754.0165405,58.36445618,
752.9952393,99.58088684,752.9952393,92.40628815,752.9952393,90.51393127,752.9952393,96.38505554,752.9952393,97.28637695,752.9952393,98.84003448,752.9952393,56.00770187,
